Title,Price,Date
"Laptop Apple MacBook Pro 2021 16,2 Apple M1 Pro - 16GB RAM - 512GB Dysk - macOS (srebrny) US",13 499 zł,2022-12-23
"Laptop ASUS ROG Strix SCAR 17 2022 G733ZX-LL033 17,3 240Hz Intel® CoreTM i9-12900H -32GB RAM - 1TB Dysk - RTX3080Ti Grafika",16 599 zł,2022-12-23
"Laptop Lenovo IdeaPad 3 17ITL6 17,3 Intel® CoreTM i3-1115G4 - 8GB RAM - 512GB Dysk - Win11",2 199 zł,2022-12-23
"Laptop Apple MacBook Air M1 13,3 Apple M1 - 16GB RAM - 256GB Dysk - macOS (srebrny)",6 499 zł,2022-12-23
"Laptop HP 15s-eq2162nw 15,6 AMD Ryzen 3 5300U - 16GB RAM - 512GB Dysk - Win11",2 399 zł,2022-12-23
"Laptop Dell Inspiron 5510-5856 15,6'' Intel® CoreTM i7-11390H - 16GB RAM - 1TB Dysk - Win11",4 699 zł,2022-12-23
"Laptop Lenovo IdeaPad 3 17ITL6 17,3 Intel® CoreTM i5-1135G7 - 16GB RAM - 512GB Dysk - Win11",3 449 zł,2022-12-23
"Laptop Acer Aspire 3 A315-58-52AF 15,6 Intel® CoreTM i5-1135G7 - 8GB RAM - 512GB Dysk - Win11",2 299 zł,2022-12-23
"Laptop Lenovo Legion S7 15ACH6 15,6 165Hz AMD Ryzen 5 5600H - 16GB RAM - 512GB Dysk - RTX3050Ti Grafika - Win10",6 699 zł,2022-12-23
"Laptop Lenovo Legion 5 15ACH6H 15,6 165Hz AMD Ryzen 5 5600H - 16GB RAM - 1TB Dysk - RTX3070 Grafika",7 499 zł,2022-12-23
"Laptop Dell Inspiron 15 3511-8321 15,6 Intel® CoreTM i5-1135G7 - 8GB RAM - 512GB Dysk - Win11",2 999 zł,2022-12-23
