Sklep;Nazwa;Model;Cena;Data;Procesor;Pamięć RAM;System operacyjny;Przekątna;Rozdzielczość;Matryca
MediaMarkt;APPLE;mini 8.3 (6 gen.) 64GB Wi-Fi+Cellular;3689;2023.06.24;Apple A15 Bionic;4 GB;iPadOS 15;"8.3""";2266 x 1488;Liquid Retina
MediaMarkt;APPLE;Pro 11 (4 gen.) 128GB Wi-Fi;4769;2023.06.24;Apple M2;8 GB;iPadOS 16;"11""";2388 x 1668 ;Liquid Retina
MediaMarkt;APPLE;mini 8.3 (6 gen.) 64GB Wi-Fi+Cellular Księżycowa;3699;2023.06.24;Apple A15 Bionic;4 GB;iPadOS 15;"8.3""";2266 x 1488;Liquid Retina
MediaMarkt;APPLE;Pro 11 (4 gen.) 512GB Wi-Fi;7247;2023.06.24;Apple M2;8 GB;iPadOS 16;"11""";2388 x 1668 ;Liquid Retina
MediaMarkt;APPLE;10.9 (10 gen.) 256GB Wi-Fi+Cellular;4529;2023.06.24;Apple A14 Bionic;;iPadOS 16;"10.9""";2360 x 1640;Liquid Retina
MediaMarkt;APPLE;Pro 12.9 (6 gen.) 256GB Wi-Fi+Cellular;9099;2023.06.24;Apple M2;8 GB;iPadOS 16;"12.9""";2732 x 2048;Liquid Retina XDR
MediaMarkt;APPLE;mini 8.3 (6 gen.) 256GB Wi-Fi+Cellular;4639;2023.06.24;Apple A15 Bionic;4 GB;iPadOS 15;"8.3""";2266 x 1488;Liquid Retina
MediaMarkt;APPLE;mini 8.3 (6 gen.) 256GB Wi-Fi;3689;2023.06.24;Apple A15 Bionic;4 GB;iPadOS 15;"8.3""";2266 x 1488;Liquid Retina
MediaMarkt;APPLE;mini 8.3 (6 gen.) 64GB Wi-Fi+Cellular;3599;2023.06.24;Apple A15 Bionic;4 GB;iPadOS 15;"8.3""";2266 x 1488;Liquid Retina
MediaMarkt;APPLE;Pro 11 (4 gen.) 1TB Wi-Fi Gwiezdna;9499;2023.06.24;Apple M2;16 GB;iPadOS 16;"11""";2388 x 1668 ;Liquid Retina
MediaMarkt;APPLE;Pro 11 (4 gen.) 512GB Wi‑Fi+Cellular;7979;2023.06.24;Apple M2;8 GB;iPadOS 16;"11""";2388 x 1668 ;Liquid Retina
MediaMarkt;APPLE;mini 8.3 (6 gen.) 256GB Wi-Fi+Cellular;4729;2023.06.24;Apple A15 Bionic;4 GB;iPadOS 15;"8.3""";2266 x 1488;Liquid Retina
MediaMarkt;APPLE;Pro 11 (4 gen.) 1TB Wi‑Fi+Cellular Gwiezdna;10499;2023.06.24;Apple M2;16 GB;iPadOS 16;"11""";2388 x 1668 ;Liquid Retina
MediaMarkt;APPLE;Pro 11 (4 gen.) 2TB Wi-Fi Gwiezdna;11369;2023.06.24;Apple M2;16 GB;iPadOS 16;"11""";2388 x 1668 ;Liquid Retina
MediaMarkt;APPLE;Pro 11 (4 gen.) 2TB Wi-Fi;11369;2023.06.24;Apple M2;16 GB;iPadOS 16;"11""";2388 x 1668 ;Liquid Retina
MediaMarkt;APPLE;Pro 11 (4 gen.) 2TB Wi‑Fi+Cellular Gwiezdna;12599;2023.06.24;Apple M2;16 GB;iPadOS 16;"11""";2388 x 1668 ;Liquid Retina
MediaMarkt;LENOVO;M9;899;2023.06.24;MediaTek Helio G80;4 GB;Android 12;"9""";1340 x 800;IPS
MediaMarkt;LENOVO;P11 (2nd Gen) 11.5 6GB 128GB LTE Szary (Storm Grey) + rysik + klawiatura ZABG0184PL;1899;2023.06.24;MediaTek Helio G99;6 GB;Android 12L;"11.5""";2000 x 1200;IPS
MediaMarkt;LENOVO;P11 (2nd Gen) 11.5 6GB 128GB Wi-Fi Szary (Storm Grey) + rysik + klawiatura ZABF0315PL;1949;2023.06.24;MediaTek Helio G99;6 GB;Android 12L;"11.5""";2000 x 1200;IPS
MediaMarkt;SAMSUNG;Tab S7 FE 12.4;2699;2023.06.24;Qualcomm Snapdragon 750G;6 GB;Android;"12.4""";2560 x 1600;TFT/TN
MediaMarkt;LENOVO;M9;699;2023.06.24;MediaTek Helio G80;3 GB;Android 12;"9""";1340 x 800;IPS
MediaMarkt;LENOVO;M9;799;2023.06.24;MediaTek Helio G80;4 GB;Android 12;"9""";1340 x 800;IPS
MediaMarkt;LENOVO;M8 (4th Gen) 8.0 WiFi 3GB 32GB Szary (Arctic Grey) ZABU0139PL;499;2023.06.24;MediaTek Helio A22;3 GB;Android 12 (Go Edition);"8""";1280 x 800;IPS
MediaMarkt;REALME;10.4 (2022) WiFi 3GB 32GB Szary;899;2023.06.24;MediaTek MT8786;3 GB;Android 11;"10.4""";2000 x 1200;IPS
MediaMarkt;LENOVO;M9;799;2023.06.24;MediaTek Helio G80;3 GB;Android 12;"9""";1340 x 800;IPS
MediaMarkt;LENOVO;M10 (3rd Gen) 10.1 4GB 64GB LTE Szary (Storm Grey) ZAAF0067PL;829;2023.06.24;Unisoc T610;4 GB;Android 11;"10.1""";1920 x 1200;IPS
MediaMarkt;LENOVO;M8 HD;849;2023.06.24;MediaTek Helio P22T;3 GB;Android 11;"8""";1280 x 800;IPS
MediaMarkt;REALME;10.4 (2022) WiFi 4GB 64GB Szary;839;2023.06.24;MediaTek Helio G80;4 GB;Android 11;"10.4""";2000 x 1200;IPS
