Sklep;Nazwa;Model;Cena;Data;Ekran (przekątna);Procesor;Pamięć RAM;Dedykowany układ graficzny
MediaMarkt;ASUS;FHD;1499;2023.06.24;"14""";Intel® Celeron® N4020 (2 rdzenie, 2 wątki, 1.1-2.8 GHz);4 GB DDR4;Intel UHD 600
MediaMarkt;HP;15-fa0139nw;3699;2023.06.24;"15.6""";Intel® Core™ i5-12450H (8 rdzeni, 12 wątków, 1.5-4.4 GHz);8 GB DDR4;NVIDIA GeForce® GTX 1650 4 GB GDDR6
MediaMarkt;LENOVO;Gaming 3 15IHU6 82K100QXPB;4099;2023.06.24;"15.6""";Intel® Core™ i5-11300H (4 rdzenie, 8 wątków, 3.1-4.1 GHz);16 GB DDR4;NVIDIA GeForce® GTX 1650 4 GB GDDR6
MediaMarkt;MICROSOFT;Surface Go 3 10.5 Pentium;2499;2023.06.24;"10.5""";Intel® Pentium® Gold 6500Y (2 rdzenie, 4 wątki, 1.1-3.4 GHz);4 GB DDR3;Intel UHD 615
MediaMarkt;ASUS;;1999;2023.06.24;"15.6""";Intel® Core™ i3-1115G4 (2 rdzenie, 4 wątki, 3-4.1 GHz);8 GB DDR4;Intel UHD
MediaMarkt;HP;;2999;2023.06.24;"17.3""";Intel® Core™ i3-1115G4 (2 rdzenie, 4 wątki, 3-4.1 GHz);8 GB DDR4;Intel UHD
MediaMarkt;HP;FHD Ryzen;3299;2023.06.24;"17.3""";AMD Ryzen™ 5 5625U (6 rdzeni, 12 wątków, 2.3-4.3 GHz);8 GB DDR4;AMD Radeon™
MediaMarkt;HP;Spectre x360 16-f0221nw 3K+;7299;2023.06.24;"16""";Intel® Core™ i7-11390H (4 rdzenie, 8 wątków, 2.9-5 GHz);16 GB DDR4;INTEL Iris® Xe
MediaMarkt;LENOVO;5 14ITL05 82FE0133PB;3999;2023.06.24;"14""";Intel® Core™ i7-1165G7 (4 rdzenie, 8 wątków, 1.2-4.7 GHz);8 GB DDR4;INTEL Iris® Xe
MediaMarkt;HUAWEI;B3-520;2599;2023.06.24;"15.6""";Intel® Core™ i5-1135G7 (4 rdzenie, 8 wątków, 2.4-4.2 GHz);8 GB DDR4;INTEL Iris® Xe
MediaMarkt;LG;2022 16Z90Q-G.AA79Y;7349;2023.06.24;"16""";Intel® Core™ i7-1260P (12 rdzeni, 16 wątków, 3.4-4.7 GHz);16 GB DDR5;INTEL Iris® Xe
MediaMarkt;DELL;15 3525 FHD Ryzen;3299;2023.06.24;"15.6""";AMD Ryzen™ 5 5625U (6 rdzeni, 12 wątków, 2.3-4.3 GHz);8 GB DDR4;AMD Radeon™
MediaMarkt;LG;2022 16Z90Q-G.AA76Y;6079;2023.06.24;"16""";Intel® Core™ i7-1260P (12 rdzeni, 16 wątków, 3.4-4.7 GHz);16 GB DDR5;INTEL Iris® Xe
MediaMarkt;MSI;Thin 11UD-815PL;5299;2023.06.24;"15.6""";Intel® Core™ i5-11400H (6 rdzeni, 12 wątków, 2.2-4.5 GHz);16 GB DDR4;NVIDIA GeForce RTX™ 3050 Ti 4 GB GDDR6
MediaMarkt;LG;2022 16Z90Q-G.AA78Y;6999;2023.06.24;"16""";Intel® Core™ i7-1260P (12 rdzeni, 16 wątków, 3.4-4.7 GHz);16 GB DDR5;INTEL Iris® Xe
MediaMarkt;PEAQ;S132V-1G464P;1299;2023.06.24;"13.3""";Intel® Celeron® N4020 (2 rdzenie, 2 wątki, 1.1-2.8 GHz);4 GB;Intel UHD 600
MediaMarkt;LENOVO;Gaming 3 15IHU6 82K100R8PB;4999;2023.06.24;"15.6""";Intel® Core™ i7-11370H (4 rdzenie, 8 wątków, 3.3-4.8 GHz);16 GB DDR4;NVIDIA GeForce RTX™ 3050 4 GB GDDR6
MediaMarkt;HP;17-ck1101nw;15799;2023.06.24;"17.3""";Intel® Core™ i7-12700H (14 rdzeni, 20 wątków, 2.3-4.7 GHz);32 GB DDR5;NVIDIA GeForce RTX™ 3080 Ti 16 GB GDDR6
MediaMarkt;HP;;3299;2023.06.24;"15.6""";Intel® Core™ i5-1135G7 (4 rdzenie, 8 wątków, 2.4-4.2 GHz);8 GB DDR4;INTEL Iris® Xe
MediaMarkt;LG;2022 17Z90Q-G.AA58Y;6499;2023.06.24;"17""";Intel® Core™ i5-1240P (12 rdzeni, 16 wątków, 3.3-4.4 GHz);16 GB DDR5;INTEL Iris® Xe
MediaMarkt;HP;;2499;2023.06.24;"15.6""";Intel® Core™ i3-1115G4 (2 rdzenie, 4 wątki, 3-4.1 GHz);8 GB DDR4;Intel UHD
MediaMarkt;ASUS;14 UX425EA-KI928W;4299;2023.06.24;"14""";Intel® Core™ i5-1135G7 (4 rdzenie, 8 wątków, 2.4-4.2 GHz);16 GB DDR4;INTEL Iris® Xe
MediaMarkt;HP;14-eb0171nw;5949;2023.06.24;"14""";Intel® Core™ i7-11370H (4 rdzenie, 8 wątków, 3-3.3 GHz);16 GB DDR4;INTEL Iris® Xe
MediaMarkt;HP;14-eb0101nw;4999;2023.06.24;"14""";Intel® Core™ i5-1135G7 (4 rdzenie, 8 wątków, 2.4-4.2 GHz);8 GB DDR4;INTEL Iris® Xe
MediaMarkt;MICROSOFT;Laptop 5 13.5;4999;2023.06.24;"13.5""";Intel® Core™ i5-1235U (10 rdzeni, 12 wątków, 1.3-4.4 GHz);8 GB DDR5;INTEL Iris® Xe
MediaMarkt;HP;Gaming 15-dk2421nw;4599;2023.06.24;"15.6""";Intel® Core™ i5-11300H (4 rdzenie, 8 wątków, 3.1-4.4 GHz);8 GB DDR4;NVIDIA GeForce RTX™ 3050 4 GB GDDR6
MediaMarkt;HP;Pavilion x360 14-ek0021nw Dotykowy;3999;2023.06.24;"14""";Intel® Core™ i5-1235U (10 rdzeni, 12 wątków, 0.9-4.4 GHz);16 GB DDR4;INTEL Iris® Xe
MediaMarkt;LG;2022 14Z90Q-G.AA56Y;5349;2023.06.24;"14""";Intel® Core™ i5-1240P (12 rdzeni, 16 wątków, 3.3-4.4 GHz);16 GB DDR5;INTEL Iris® Xe
MediaMarkt;LG;2022 17Z90Q-G.AA76Y;7999;2023.06.24;"17""";Intel® Core™ i7-1260P (12 rdzeni, 16 wątków, 3.4-4.7 GHz);16 GB DDR5;INTEL Iris® Xe
